Fecha,Región,Latitud,Longitud,Temperatura,Humedad,Viento,Precipitación,Índice de sequía,Cobertura vegetal,Uso de suelo,Incendio
2023-07-25,Santa Cruz,-16.9193,-61.631,39.7,36.0,12.9,6.2,Alto,Agrícola,Agrícola,No
2023-07-26,Santa Cruz,-16.6107,-62.1671,33.4,48.5,17.0,10.5,Moderado,Bosque seco,Urbano,No
2023-07-27,Santa Cruz,-16.7423,-60.0333,23.0,22.5,18.9,5.3,Alto,Bosque seco,Ganadero,No
2023-07-28,Santa Cruz,-16.6596,-60.4974,32.1,69.6,1.7,23.4,Moderado,Sabana,Agrícola,No
2023-07-29,Santa Cruz,-17.5722,-61.6795,33.0,49.9,14.2,13.7,Moderado,Bosque seco,Agrícola,No
2023-07-30,Santa Cruz,-16.4077,-63.0369,21.5,31.0,3.3,23.8,Alto,Sabana,Ganadero,No
2023-07-31,Santa Cruz,-16.0306,-61.457,36.2,21.2,9.3,8.3,Alto,Pasto,Agrícola,No
2023-08-01,Santa Cruz,-16.6531,-63.3578,33.6,47.2,11.5,12.7,Bajo,Pasto,Agrícola,No
2023-08-02,Santa Cruz,-16.8219,-63.3635,35.0,66.5,19.9,4.9,Alto,Bosque seco,Forestal,No
2023-08-03,Santa Cruz,-16.7905,-62.7611,38.0,78.9,5.6,11.2,Alto,Agrícola,Forestal,No
2023-08-04,Santa Cruz,-16.8855,-60.6403,34.1,74.1,10.4,21.8,Bajo,Bosque seco,Agrícola,No
2023-08-05,Santa Cruz,-16.2791,-62.9364,21.2,22.0,2.2,26.6,Bajo,Pasto,Forestal,No
2023-08-06,Santa Cruz,-17.8629,-60.7748,32.9,78.8,6.4,13.5,Moderado,Bosque seco,Urbano,No
2023-08-07,Santa Cruz,-16.6766,-62.4218,21.3,40.5,4.2,15.1,Bajo,Sabana,Urbano,No
2023-08-08,Santa Cruz,-16.722,-60.4122,31.5,59.4,5.9,0.6,Bajo,Sabana,Urbano,No
2023-08-09,Santa Cruz,-16.1974,-63.3926,30.8,70.1,10.8,23.7,Bajo,Agrícola,Urbano,No
2023-08-10,Santa Cruz,-16.1203,-61.324,31.9,20.1,14.0,11.0,Alto,Sabana,Agrícola,No
2023-08-11,Santa Cruz,-16.6963,-63.9887,22.9,20.7,9.7,13.7,Moderado,Agrícola,Urbano,No
2023-08-12,Santa Cruz,-17.8704,-61.0624,30.0,58.1,12.7,16.1,Bajo,Agrícola,Urbano,No
2023-08-13,Santa Cruz,-16.8778,-61.6793,28.9,58.1,5.4,7.5,Bajo,Sabana,Agrícola,No
2023-08-14,Santa Cruz,-16.4405,-62.8353,33.8,59.0,5.7,9.5,Bajo,Pasto,Agrícola,No
2023-08-15,Santa Cruz,-17.6073,-60.6509,35.4,53.4,19.0,23.9,Alto,Bosque seco,Forestal,No
2023-08-16,Santa Cruz,-16.1571,-61.6388,37.8,36.4,19.4,25.1,Bajo,Bosque seco,Forestal,No
2023-08-17,Santa Cruz,-16.311,-60.9348,24.5,44.7,4.7,21.9,Bajo,Bosque seco,Forestal,No
2023-08-18,Santa Cruz,-17.0943,-60.9588,39.9,78.4,12.2,11.5,Alto,Bosque seco,Agrícola,No
2023-08-19,Santa Cruz,-16.6711,-62.8008,36.3,48.0,6.4,27.2,Bajo,Pasto,Agrícola,No
2023-08-20,Santa Cruz,-17.0354,-61.9477,35.1,58.0,17.9,12.7,Bajo,Agrícola,Ganadero,No
2023-08-21,Santa Cruz,-16.4773,-62.164,33.8,52.0,3.6,3.4,Bajo,Bosque seco,Ganadero,No
2023-08-22,Santa Cruz,-17.07,-63.1973,22.2,68.8,7.5,29.5,Alto,Sabana,Urbano,No
2023-08-23,Santa Cruz,-16.2374,-63.9863,36.0,79.9,4.5,29.0,Moderado,Pasto,Agrícola,No
2023-08-24,Santa Cruz,-16.8463,-61.316,28.1,75.9,8.7,18.2,Moderado,Bosque seco,Forestal,No
2023-08-25,Santa Cruz,-17.452,-60.2698,33.7,20.6,17.9,19.3,Alto,Bosque seco,Forestal,No
2023-08-26,Santa Cruz,-17.8309,-63.9997,33.6,40.5,7.6,11.7,Moderado,Sabana,Urbano,No
2023-08-27,Santa Cruz,-16.1232,-61.3418,24.2,36.6,11.5,24.0,Alto,Sabana,Urbano,No
2023-08-28,Santa Cruz,-17.3692,-61.812,28.9,34.5,15.8,27.0,Moderado,Agrícola,Agrícola,No
2023-08-29,Santa Cruz,-17.8461,-60.4552,21.8,66.5,6.9,7.9,Alto,Bosque seco,Agrícola,No
2023-08-30,Santa Cruz,-17.3657,-63.2118,28.7,22.3,7.7,1.1,Bajo,Bosque seco,Ganadero,No
2023-08-31,Santa Cruz,-16.6087,-63.834,20.3,78.0,9.5,15.0,Alto,Agrícola,Agrícola,No
2023-09-01,Santa Cruz,-17.4649,-63.4291,22.5,68.7,6.1,28.2,Moderado,Pasto,Agrícola,No
2023-09-02,Santa Cruz,-16.872,-60.1661,36.2,22.4,1.7,10.7,Alto,Sabana,Urbano,No
2023-09-03,Santa Cruz,-17.6661,-63.6827,38.9,65.6,4.1,19.5,Bajo,Pasto,Urbano,No
2023-09-04,Santa Cruz,-17.7844,-63.3018,26.5,28.7,17.8,9.2,Bajo,Bosque seco,Ganadero,No
2023-09-05,Santa Cruz,-16.8523,-61.7006,37.9,39.4,18.6,26.4,Moderado,Pasto,Urbano,No
2023-09-06,Santa Cruz,-17.2785,-62.7835,24.3,25.6,8.9,17.8,Alto,Agrícola,Forestal,No
2023-09-07,Santa Cruz,-16.3162,-61.0212,38.3,24.2,1.0,27.1,Bajo,Bosque seco,Urbano,No
2023-09-08,Santa Cruz,-17.5565,-61.5402,36.7,79.1,7.1,23.3,Moderado,Sabana,Urbano,No
2023-09-09,Santa Cruz,-17.0835,-61.292,36.8,35.2,9.3,18.9,Moderado,Sabana,Agrícola,No
2023-09-10,Santa Cruz,-16.1845,-60.2501,27.9,66.1,17.1,3.5,Bajo,Pasto,Ganadero,No
2023-09-11,Santa Cruz,-17.8545,-62.8559,24.3,66.5,7.4,28.0,Moderado,Pasto,Ganadero,No
2023-09-12,Santa Cruz,-17.6906,-60.5893,38.9,73.4,7.9,11.0,Alto,Agrícola,Urbano,No
2023-09-13,Santa Cruz,-16.6941,-60.2678,36.2,71.1,10.5,24.5,Bajo,Agrícola,Agrícola,No
2023-09-14,Santa Cruz,-17.362,-63.664,32.5,69.8,4.1,10.1,Moderado,Pasto,Ganadero,No
2023-09-15,Santa Cruz,-16.2542,-62.1627,36.8,57.5,11.3,2.4,Moderado,Bosque seco,Agrícola,No
2023-09-16,Santa Cruz,-17.1643,-61.9705,30.9,41.2,9.6,21.3,Bajo,Pasto,Ganadero,No
2023-09-17,Santa Cruz,-17.103,-61.3845,28.4,57.4,16.2,3.2,Alto,Sabana,Urbano,No
2023-09-18,Santa Cruz,-17.0873,-62.6526,29.9,20.8,1.1,24.9,Bajo,Sabana,Agrícola,No
2023-09-19,Santa Cruz,-17.7844,-63.2065,28.8,22.1,19.6,2.7,Alto,Pasto,Forestal,No
2023-09-20,Santa Cruz,-17.3133,-62.6865,30.6,23.5,8.0,19.1,Alto,Sabana,Ganadero,No
2023-09-21,Santa Cruz,-17.1703,-63.0775,23.5,27.7,8.5,2.5,Moderado,Sabana,Ganadero,No
2023-09-22,Santa Cruz,-17.2588,-62.2363,20.6,68.6,2.9,17.9,Moderado,Agrícola,Forestal,No
2023-09-23,Santa Cruz,-16.2581,-62.0481,34.4,50.0,11.6,13.2,Bajo,Agrícola,Forestal,No
2023-09-24,Santa Cruz,-17.1965,-62.3319,30.4,71.6,12.9,27.7,Bajo,Pasto,Urbano,No
2023-09-25,Santa Cruz,-17.148,-60.4362,39.6,38.1,16.7,17.0,Bajo,Sabana,Agrícola,No
2023-09-26,Santa Cruz,-16.4375,-62.9422,28.6,20.8,9.4,15.0,Bajo,Bosque seco,Urbano,No
2023-09-27,Santa Cruz,-17.119,-62.8283,22.8,22.9,7.1,12.0,Moderado,Bosque seco,Forestal,No
2023-09-28,Santa Cruz,-17.3605,-63.4488,39.2,75.2,4.9,26.3,Moderado,Bosque seco,Agrícola,No
2023-07-01,Santa Cruz,-16.344,-60.5343,23.1,20.7,14.8,16.3,Bajo,Sabana,Ganadero,No
2023-07-02,Santa Cruz,-16.8925,-62.6412,31.2,65.6,15.6,9.2,Bajo,Sabana,Forestal,No
2023-07-03,Santa Cruz,-17.8427,-60.6506,22.5,71.1,16.5,9.9,Moderado,Pasto,Forestal,No
2023-07-04,Santa Cruz,-16.5505,-61.8618,21.2,29.8,18.3,6.0,Bajo,Sabana,Agrícola,No
2023-07-05,Santa Cruz,-16.1177,-63.6153,38.8,48.0,9.8,18.1,Alto,Agrícola,Forestal,No
2023-07-06,Santa Cruz,-17.6825,-60.1493,39.1,42.2,15.4,13.2,Bajo,Bosque seco,Agrícola,No
2023-07-07,Santa Cruz,-17.6939,-61.9483,35.9,35.3,19.6,22.2,Bajo,Bosque seco,Forestal,No
2023-07-08,Santa Cruz,-17.4255,-63.0964,20.1,53.6,14.9,27.3,Bajo,Agrícola,Urbano,No
2023-07-09,Santa Cruz,-16.3469,-60.3971,39.4,47.3,9.7,3.3,Bajo,Agrícola,Ganadero,No
2023-07-10,Santa Cruz,-17.3606,-61.0244,34.6,47.5,11.6,14.3,Moderado,Sabana,Ganadero,No
2023-07-11,Santa Cruz,-16.4667,-60.5294,30.8,58.1,19.2,13.7,Bajo,Pasto,Agrícola,No
2023-07-12,Santa Cruz,-17.8514,-60.7411,24.9,42.1,14.2,29.0,Alto,Bosque seco,Agrícola,No
2023-07-13,Santa Cruz,-17.8442,-60.5999,37.5,46.2,4.3,15.5,Moderado,Bosque seco,Forestal,No
2023-07-14,Santa Cruz,-16.0233,-60.9534,38.3,73.4,17.8,15.8,Alto,Sabana,Forestal,No
2023-07-15,Santa Cruz,-16.457,-63.1759,29.7,61.6,17.8,19.3,Bajo,Sabana,Urbano,No
2023-07-16,Santa Cruz,-16.3859,-62.2211,38.4,51.9,14.1,20.1,Alto,Pasto,Ganadero,No
2023-07-17,Santa Cruz,-17.4143,-61.6433,27.2,55.3,10.3,23.7,Alto,Sabana,Forestal,No
2023-07-18,Santa Cruz,-16.463,-63.2486,38.3,73.7,18.9,16.9,Moderado,Bosque seco,Urbano,No
2023-07-19,Santa Cruz,-17.3193,-63.1275,21.1,34.7,2.2,26.8,Bajo,Pasto,Urbano,No
2023-07-20,Santa Cruz,-16.9861,-63.2116,20.1,32.0,4.0,8.9,Moderado,Bosque seco,Forestal,No
2023-07-21,Santa Cruz,-17.7904,-61.4337,29.3,43.5,5.0,28.4,Bajo,Pasto,Urbano,No
2023-07-22,Santa Cruz,-17.7491,-62.2315,20.4,78.5,1.5,28.5,Bajo,Bosque seco,Agrícola,No
2023-07-23,Santa Cruz,-17.2147,-60.5596,23.2,36.7,4.5,24.4,Moderado,Sabana,Forestal,No
2023-07-24,Santa Cruz,-17.0198,-60.346,26.5,41.6,12.0,14.0,Moderado,Agrícola,Ganadero,No
2023-07-25,Santa Cruz,-16.2021,-63.8141,32.4,75.7,16.2,19.8,Moderado,Agrícola,Ganadero,No
2023-07-26,Santa Cruz,-17.7165,-60.9499,33.3,30.7,1.2,6.6,Alto,Agrícola,Forestal,No
2023-07-27,Santa Cruz,-17.9178,-63.394,24.2,68.0,14.2,19.1,Moderado,Sabana,Urbano,No
2023-07-28,Santa Cruz,-17.8355,-62.5597,39.2,56.5,14.1,25.5,Alto,Sabana,Ganadero,No
2023-07-29,Santa Cruz,-16.7793,-63.7086,36.6,71.4,10.0,9.8,Bajo,Pasto,Forestal,No
2023-07-30,Santa Cruz,-16.0464,-60.3961,31.0,55.4,10.3,12.3,Bajo,Bosque seco,Urbano,No
2023-07-31,Santa Cruz,-16.5389,-62.4707,36.9,58.6,16.1,8.5,Alto,Agrícola,Agrícola,No
2023-08-01,Santa Cruz,-17.9755,-62.3256,29.3,47.8,2.0,12.4,Bajo,Sabana,Agrícola,No
2023-08-02,Santa Cruz,-16.6784,-62.5529,21.0,42.2,8.1,22.4,Moderado,Bosque seco,Urbano,No
2023-08-03,Santa Cruz,-17.7472,-62.2324,20.1,30.2,18.0,4.0,Moderado,Pasto,Ganadero,No
2023-08-04,Santa Cruz,-17.5451,-62.954,37.2,65.3,5.6,7.8,Moderado,Bosque seco,Agrícola,No
2023-08-05,Santa Cruz,-16.4306,-63.7927,23.1,39.6,6.5,5.8,Bajo,Bosque seco,Agrícola,No
2023-08-06,Santa Cruz,-17.5938,-62.7207,27.1,20.8,16.1,18.4,Moderado,Pasto,Ganadero,No
2023-08-07,Santa Cruz,-16.221,-61.6073,38.3,43.1,4.0,22.5,Alto,Sabana,Ganadero,No
2023-08-08,Santa Cruz,-17.4623,-61.6852,24.3,57.5,13.3,5.6,Alto,Sabana,Ganadero,No
2023-08-09,Santa Cruz,-16.4523,-60.3253,29.0,53.2,13.3,2.9,Moderado,Pasto,Forestal,No
2023-08-10,Santa Cruz,-17.3877,-60.01,25.4,69.2,13.3,22.0,Alto,Pasto,Ganadero,No
2023-08-11,Santa Cruz,-17.0516,-61.8905,20.7,61.8,19.2,7.1,Alto,Pasto,Agrícola,No
2023-08-12,Santa Cruz,-17.584,-62.9958,29.2,40.8,16.0,11.8,Alto,Bosque seco,Urbano,No
2023-08-13,Santa Cruz,-17.1409,-60.8189,36.2,62.0,3.8,0.1,Alto,Sabana,Forestal,No
2023-08-14,Santa Cruz,-16.426,-61.276,32.0,70.5,13.4,27.6,Alto,Bosque seco,Urbano,No
2023-08-15,Santa Cruz,-17.5206,-61.8936,28.2,30.4,13.6,8.8,Alto,Pasto,Forestal,No
2023-08-16,Santa Cruz,-16.5762,-60.347,33.3,38.5,5.2,8.0,Alto,Pasto,Agrícola,No
2023-08-17,Santa Cruz,-16.753,-63.2943,20.9,66.5,8.1,20.5,Alto,Pasto,Forestal,No
2023-08-18,Santa Cruz,-17.4558,-60.3597,27.9,42.6,14.6,21.6,Moderado,Sabana,Forestal,No
2023-08-19,Santa Cruz,-16.9213,-63.1917,31.0,40.7,17.7,9.5,Alto,Bosque seco,Agrícola,No
2023-08-20,Santa Cruz,-17.7705,-61.1123,27.0,43.1,17.3,28.3,Bajo,Agrícola,Ganadero,No
2023-08-21,Santa Cruz,-17.5539,-60.8801,20.9,32.7,16.0,29.8,Bajo,Bosque seco,Urbano,No
2023-08-22,Santa Cruz,-17.6027,-61.8624,37.0,52.1,19.9,14.3,Moderado,Agrícola,Agrícola,No
2023-08-23,Santa Cruz,-16.1404,-61.4585,22.3,68.8,18.2,3.5,Alto,Agrícola,Urbano,No
2023-08-24,Santa Cruz,-16.1884,-61.2698,22.7,48.4,6.3,8.3,Bajo,Pasto,Forestal,No
2023-08-25,Santa Cruz,-17.0536,-62.3212,32.7,36.3,2.6,7.2,Moderado,Sabana,Ganadero,No
2023-08-26,Santa Cruz,-17.3843,-62.914,27.6,56.6,2.9,29.9,Bajo,Pasto,Forestal,No
2023-08-27,Santa Cruz,-16.3129,-61.4047,36.9,44.1,9.6,21.6,Alto,Pasto,Agrícola,No
2023-08-28,Santa Cruz,-16.3274,-63.1784,31.7,64.5,3.9,17.3,Alto,Pasto,Forestal,No
2023-08-29,Santa Cruz,-16.334,-62.422,31.7,72.4,11.0,13.9,Alto,Bosque seco,Forestal,No
2023-08-30,Santa Cruz,-16.8113,-61.8466,24.2,76.0,18.4,14.2,Alto,Sabana,Forestal,No
2023-08-31,Santa Cruz,-16.1824,-63.641,31.2,49.0,11.0,19.4,Moderado,Bosque seco,Ganadero,No
2023-09-01,Santa Cruz,-16.0899,-62.7155,30.9,67.0,3.8,11.7,Bajo,Sabana,Ganadero,No
2023-09-02,Santa Cruz,-16.3937,-63.4453,31.8,61.3,14.4,8.5,Moderado,Pasto,Agrícola,No
2023-09-03,Santa Cruz,-16.2383,-63.9106,27.0,44.3,16.5,26.4,Moderado,Pasto,Forestal,No
2023-09-04,Santa Cruz,-16.0128,-63.971,25.8,49.8,12.0,9.1,Moderado,Bosque seco,Ganadero,No
2023-09-05,Santa Cruz,-16.744,-60.4769,23.5,35.4,1.6,19.0,Moderado,Bosque seco,Forestal,No
2023-09-06,Santa Cruz,-16.876,-61.0372,36.9,51.9,5.8,9.8,Bajo,Bosque seco,Agrícola,No
2023-09-07,Santa Cruz,-17.4217,-63.784,34.6,64.6,5.1,14.5,Moderado,Sabana,Forestal,No
2023-09-08,Santa Cruz,-16.3446,-60.1985,37.4,21.8,16.3,14.5,Bajo,Bosque seco,Forestal,No
2023-09-09,Santa Cruz,-16.172,-62.6366,25.7,20.3,8.3,27.1,Bajo,Sabana,Urbano,No
2023-09-10,Santa Cruz,-16.9276,-63.5952,37.4,48.0,5.0,5.5,Moderado,Pasto,Urbano,No
2023-09-11,Santa Cruz,-17.9075,-62.4241,20.1,64.1,10.8,4.1,Alto,Bosque seco,Ganadero,No
2023-09-12,Santa Cruz,-16.0923,-60.793,21.6,29.6,2.3,15.3,Bajo,Sabana,Urbano,No
2023-09-13,Santa Cruz,-17.6671,-61.4603,21.2,76.2,7.4,28.5,Bajo,Agrícola,Ganadero,No
2023-09-14,Santa Cruz,-17.891,-61.441,39.7,76.6,2.0,3.8,Alto,Agrícola,Ganadero,No
2023-09-15,Santa Cruz,-16.0809,-61.1157,24.8,52.7,17.9,28.1,Bajo,Agrícola,Urbano,No
2023-09-16,Santa Cruz,-17.5647,-63.5558,22.2,46.9,10.9,2.3,Moderado,Agrícola,Agrícola,No
2023-09-17,Santa Cruz,-17.0204,-62.9562,23.6,72.8,4.1,16.6,Moderado,Agrícola,Agrícola,No
2023-09-18,Santa Cruz,-16.9468,-60.6068,30.8,45.7,14.8,18.6,Alto,Agrícola,Forestal,No
2023-09-19,Santa Cruz,-16.5665,-60.4733,21.6,64.3,5.8,1.9,Alto,Pasto,Forestal,No
2023-09-20,Santa Cruz,-16.906,-60.7171,23.3,28.5,5.8,26.3,Bajo,Pasto,Ganadero,No
2023-09-21,Santa Cruz,-17.7752,-61.3483,26.5,67.8,12.9,2.4,Moderado,Bosque seco,Urbano,No
2023-09-22,Santa Cruz,-17.2693,-61.8908,37.5,27.7,6.2,17.3,Moderado,Pasto,Ganadero,No
2023-09-23,Santa Cruz,-16.2237,-62.4154,21.4,36.1,14.8,7.7,Alto,Sabana,Urbano,No
2023-09-24,Santa Cruz,-16.1347,-62.3432,29.5,48.7,14.8,29.0,Alto,Sabana,Agrícola,No
2023-09-25,Santa Cruz,-17.6776,-61.6844,27.9,76.4,2.3,28.1,Moderado,Pasto,Forestal,No
2023-09-26,Santa Cruz,-16.4454,-60.249,22.5,26.9,17.7,16.6,Alto,Sabana,Agrícola,No
2023-09-27,Santa Cruz,-17.5114,-63.7066,24.6,56.5,3.2,12.8,Moderado,Bosque seco,Ganadero,No
2023-09-28,Santa Cruz,-16.2443,-63.6465,30.2,70.1,10.0,16.8,Moderado,Sabana,Urbano,No
2023-07-01,Santa Cruz,-16.2964,-61.4047,39.9,44.4,3.3,19.8,Alto,Pasto,Forestal,No
2023-07-02,Santa Cruz,-17.4552,-60.3928,29.2,29.4,9.6,17.4,Bajo,Bosque seco,Forestal,No
2023-07-03,Santa Cruz,-16.5289,-62.3854,24.9,27.6,8.9,17.7,Bajo,Sabana,Forestal,No
2023-07-04,Santa Cruz,-17.7066,-60.4372,32.8,75.8,16.9,14.7,Bajo,Sabana,Forestal,No
2023-07-05,Santa Cruz,-17.1329,-63.282,31.8,66.5,6.7,21.9,Moderado,Sabana,Urbano,No
2023-07-06,Santa Cruz,-17.036,-60.1821,30.4,32.9,8.0,9.9,Bajo,Agrícola,Agrícola,No
2023-07-07,Santa Cruz,-16.6037,-62.0491,20.5,46.8,10.0,14.0,Bajo,Bosque seco,Agrícola,No
2023-07-08,Santa Cruz,-16.8852,-61.2366,24.1,40.5,18.4,27.9,Alto,Bosque seco,Ganadero,No
2023-07-09,Santa Cruz,-16.6173,-60.1098,24.3,67.8,9.8,21.9,Moderado,Pasto,Agrícola,No
2023-07-10,Santa Cruz,-16.9244,-60.3152,36.8,39.7,14.9,1.8,Moderado,Sabana,Ganadero,No
2023-07-11,Santa Cruz,-17.4507,-61.3898,26.9,66.3,7.8,16.7,Alto,Bosque seco,Ganadero,No
2023-07-12,Santa Cruz,-16.4293,-62.4409,23.1,75.0,12.3,18.5,Moderado,Sabana,Ganadero,No
2023-07-13,Santa Cruz,-17.779,-63.3199,26.0,66.2,8.0,7.9,Alto,Pasto,Forestal,No
2023-07-14,Santa Cruz,-17.8958,-63.3576,32.3,41.6,17.3,1.7,Bajo,Bosque seco,Forestal,No
2023-07-15,Santa Cruz,-17.4111,-63.526,32.8,63.3,7.8,6.1,Bajo,Sabana,Forestal,No
2023-07-16,Santa Cruz,-16.3449,-61.6994,27.4,33.9,5.5,27.3,Bajo,Pasto,Forestal,No
2023-07-17,Santa Cruz,-16.4352,-63.2168,21.9,50.0,9.0,29.7,Moderado,Agrícola,Forestal,No
2023-07-18,Santa Cruz,-17.2319,-61.2145,20.8,52.4,19.5,23.9,Moderado,Agrícola,Urbano,No
2023-07-19,Santa Cruz,-17.4784,-63.7827,27.4,29.2,8.9,1.5,Bajo,Pasto,Urbano,No
2023-07-20,Santa Cruz,-16.9926,-62.6126,32.5,45.7,6.1,0.7,Bajo,Bosque seco,Forestal,No
2023-07-21,Santa Cruz,-17.3568,-61.3476,25.5,45.0,15.5,22.3,Alto,Pasto,Agrícola,No
2023-07-22,Santa Cruz,-16.3475,-61.3364,20.2,59.5,13.3,15.2,Alto,Bosque seco,Forestal,No
2023-07-23,Santa Cruz,-16.4084,-60.838,34.3,35.2,2.7,21.3,Bajo,Sabana,Ganadero,No
2023-07-24,Santa Cruz,-16.2491,-61.9239,33.8,73.7,4.3,4.2,Moderado,Agrícola,Urbano,No
2023-07-25,Santa Cruz,-16.7131,-61.7033,36.4,48.1,10.5,13.8,Bajo,Agrícola,Urbano,No
2023-07-26,Santa Cruz,-16.216,-63.085,24.8,38.6,17.0,3.8,Bajo,Sabana,Urbano,No
2023-07-27,Santa Cruz,-16.3516,-62.8037,22.5,60.2,10.5,7.5,Moderado,Agrícola,Forestal,No
2023-07-28,Santa Cruz,-16.1987,-62.2117,21.2,79.9,3.4,2.4,Bajo,Agrícola,Urbano,No
2023-07-29,Santa Cruz,-16.5926,-61.9532,33.7,53.7,15.0,24.5,Alto,Agrícola,Urbano,No
2023-07-30,Santa Cruz,-17.2256,-62.7219,32.0,76.4,11.9,11.0,Bajo,Sabana,Agrícola,No
2023-07-31,Santa Cruz,-17.257,-62.8638,38.4,43.3,6.0,14.2,Bajo,Sabana,Ganadero,No
2023-08-01,Santa Cruz,-17.7491,-63.9729,32.7,41.4,6.4,26.3,Moderado,Bosque seco,Ganadero,No
2023-08-02,Santa Cruz,-17.4558,-62.8024,27.1,43.3,4.2,20.3,Bajo,Bosque seco,Agrícola,No
2023-08-03,Santa Cruz,-16.7245,-61.4343,23.1,34.2,7.2,14.4,Moderado,Pasto,Ganadero,No
2023-08-04,Santa Cruz,-17.0974,-61.2207,34.3,28.6,7.6,14.3,Alto,Sabana,Agrícola,No
2023-08-05,Santa Cruz,-17.0237,-63.6131,27.2,26.0,11.6,22.2,Moderado,Bosque seco,Ganadero,No
2023-08-06,Santa Cruz,-16.7679,-61.8129,31.1,58.5,6.5,2.2,Alto,Sabana,Forestal,No
2023-08-07,Santa Cruz,-16.0661,-61.9322,39.2,77.8,2.3,5.6,Alto,Agrícola,Urbano,No
2023-08-08,Santa Cruz,-17.9185,-63.5279,26.5,41.4,8.6,13.6,Bajo,Pasto,Forestal,No
2023-08-09,Santa Cruz,-16.9219,-63.0756,27.8,25.3,1.6,14.3,Moderado,Bosque seco,Agrícola,No
2023-08-10,Santa Cruz,-17.2906,-62.6063,34.8,27.7,3.6,29.0,Alto,Bosque seco,Agrícola,No
2023-08-11,Santa Cruz,-17.2379,-62.0543,38.8,77.9,1.3,0.7,Bajo,Agrícola,Ganadero,No
2023-08-12,Santa Cruz,-16.3238,-61.4481,39.3,52.5,8.3,13.7,Bajo,Agrícola,Forestal,No
2023-08-13,Santa Cruz,-16.9238,-60.9283,27.3,26.4,5.4,21.7,Bajo,Bosque seco,Agrícola,No
2023-08-14,Santa Cruz,-16.1993,-63.4784,22.7,68.9,5.8,29.0,Alto,Bosque seco,Agrícola,No
2023-08-15,Santa Cruz,-16.1964,-60.5533,33.6,70.8,7.0,13.2,Moderado,Agrícola,Ganadero,No
2023-08-16,Santa Cruz,-16.4546,-60.844,22.9,75.0,19.9,14.5,Alto,Agrícola,Ganadero,No
2023-08-17,Santa Cruz,-17.465,-62.4585,34.9,46.7,1.4,0.9,Moderado,Agrícola,Ganadero,No
